,FIPS,Countyname,ST_Name,Black,Med_HH_Inc,ICU_Capacity,State_Test,Hisp,Population_Density,AVG_VENTILATOR_USAGE,Asian,Poverty,Deaths,Confirmed,Over_65,Population,KMeans_Cluster,Hierarchical_cluster,DBSCAN_cluster,MeanShift_cluster
1475,28151,Washington,Mississippi,0.602963905809619,65.89250460282601,0.0004727702518410765,1726829,0.013546686062369306,1.944574408209059e-05,3.5,0.004727702518410764,0.26456950631875625,132,5277,0.12904809528138922,54995.0,2,2,1,2
1476,28151,Washington,Mississippi,0.602963905809619,65.89250460282601,0.0004727702518410765,1726829,0.013546686062369306,1.944574408209059e-05,3.5,0.004727702518410764,0.26456950631875625,132,5277,0.12904809528138922,54995.0,2,2,1,2
1477,28153,Wayne,Mississippi,0.4025523717794365,83.6405581065194,0.0002889477486154587,1726829,0.006356850469540092,7.121331417185651e-06,2.0,0.0012521069106669878,0.21415843968215748,41,2613,0.16445942692029858,20765.0,2,2,1,2
1478,28155,Webster,Mississippi,0.20518358531317496,101.43963088662599,0.0,1726829,0.006993726216188418,6.135206500015911e-06,0.0,0.003496863108094209,0.1677465802735781,32,1134,0.1800884500668518,9723.0,2,0,2,4
1480,28159,Winston,Mississippi,0.4361609207213688,77.02579800803001,0.0,1726829,0.012022812516056108,8.623248971789412e-06,1.0,0.0003082772440014386,0.2281765401017315,81,2258,0.18691876894620565,19463.0,2,2,1,2
1481,28161,Yalobusha,Mississippi,0.3599001908116836,91.9766642266143,0.0,1726829,0.01262292675766916,7.284295553556267e-06,1.0,0.001394393072068105,0.21326875091736386,36,1582,0.17899603698811095,13626.0,2,2,1,2
1482,28163,Yazoo,Mississippi,0.6117442743948768,73.8204565116124,0.0,1726829,0.04746915590289085,8.046931883529123e-06,2.0,0.004558775643112993,0.298599804623901,68,3036,0.1316617822641919,27639.0,2,2,1,2
1483,29001,Adair,Missouri,0.028184191984084218,75.6008726853104,0.00037894711911373735,5011406,0.02578024619720645,9.535577178417185e-06,2.0,0.02519998342106354,0.17855514568740416,18,2406,0.15153147925560576,24127.0,1,0,0,0
1485,29005,Atchison,Missouri,0.003976801988400994,90.57896539910931,0.0,5011406,0.011433305716652858,2.4516679822744e-06,1.0,0.004142502071251036,0.10737365368682683,6,444,0.21988400994200494,6035.0,1,0,0,0
1486,29007,Audrain,Missouri,0.05768321513002364,79.8056291808658,0.00016886187098953074,5011406,0.0314026792750197,8.429849905638524e-06,2.0,0.001300236406619385,0.1496059889676911,57,2768,0.17501970055161545,25380.0,1,0,0,0
1487,29009,Barry,Missouri,0.002345078266987161,80.0616649537513,0.0,5011406,0.0973500615583045,1.0679589321699038e-05,1.5,0.013308319165152138,0.19256023919798326,45,2899,0.2105587148971097,34114.0,1,0,0,0
1488,29011,Barton,Missouri,0.002786402356500279,79.5604118209192,0.0,5011406,0.014887349733301488,5.107896793832079e-06,1.0,0.0003184459836000318,0.13828516837831384,14,1164,0.18883846827481887,12561.0,1,0,0,0
1489,29013,Bates,Missouri,0.014860456687205509,85.8711527018986,0.0001812250815512867,5011406,0.021747009786154403,4.618532609739895e-06,2.0,0.002839192944303492,0.16153195602271353,27,1326,0.18962184366316295,16554.0,1,0,0,0
